name	address	website	archive_oldest	archive_newest
Mountainbiker.at	145-150, 1090 Wien	https://www.mountainbiker.at/	1999-10-09	2025-06-26
Fahrrad Trappl	Leystraße 75, 1200 Wien	http://www.fahrradtrappl.at	2003-07-22	2024-12-07
Ciclopia	Stiegengasse 20, 1060 Wien	http://ciclopia.at/	2002-03-28	2025-06-25
Citybiker	Lerchenfelder Straße 13, 1070 Wien	https://citybiker.at/	2006-12-05	2025-06-14
Roadbiker	Praterstraße 29, 1020 Wien	https://www.roadbiker.at/	2010-01-30	2025-05-24
Bikers	Spittelauer Lände 12, 1090 Wien	https://www.bikers.wien/	2020-09-19	2025-06-27
Oktosport	Bergengasse 6, 1220 Wien	https://www.oktosport.at/	2010-10-21	2025-06-22
Bikestore Wien Süd	Perfektastraße 45, 1230 Wien	https://www.bikestore.cc/	2003-12-29	2025-06-26
The Vienna Bikekitchen	Goldschlagstraße 8, 1150 Wien	http://bikekitchen.net/	2008-01-16	2025-06-26
Elektrobiker	Westbahnstraße 26, 1070 Wien	https://www.elektrobiker.com/	2009-04-08	2025-06-14
Kosteletzky GmbH	Weyringergasse 37, 1040 Wien	http://www.kosty-radsport.at/	2005-04-19	2024-01-17
Donau Fritzi	Donaupromenade am Radweg , 1190 Wien			
Bike Vienna	Hegelgasse 19, 1010 Wien	https://www.bikevienna.at/	2015-09-25	2025-07-22
velo.wien Services e.U.	Troststraße 114;R3, 1100 Wien	https://velo.wien	2020-08-12	2025-04-27
2radtreff.at	Breitenfurter Straße 270, 1230 Wien	https://www.2radtreff.at/	2007-04-27	2024-07-21
Enzovelo	Spittelauer Lände 11, 1090 Wien	https://www.enzovelo.at/	2008-04-21	2025-06-22
Rad21	Brünner Straße 26-32/5/R1, 1210 Wien	http://www.rad21.at	2010-11-03	2024-07-17
Fahrrad + Ski	Linke Wienzeile 128, 1060 Wien	https://www.fahrrad-ski.at/	2010-01-27	2025-06-24
radshop.at	Neubaugürtel 31, 1150 Wien	https://www.radshop.at/	2002-03-25	2025-06-23
2rad-Shop Gerhardt	Wiedner Hauptstraße 55, 1040 Wien	https://www.2rad-shop.at/	2007-12-17	2025-06-25
Mechaniker Marek	Ullmannstraße 65, 1150 Wien	www.fahrrad-mechaniker-marek.at		
2Rad-Vesecky	Böcklinstraße 64-66, 1020 Wien	https://www.2rad-pv.at/		
Galaxy	Hintere Zollamtsstraße 11, 1030 Wien	http://galaxy-fahrraeder.at/		
Waffenradspezialist	Schlöglgasse 19, 1120 Wien	https://www.waffenrad.at/		
Cooperative Fahrrad	Gumpendorfer Straße 111, 1060 Wien	https://www.fahrrad.co.at/		
Radhaus Singer	Reichsratsstraße 13, 1010 Wien	https://radhaussinger.com		
Rad & Tat	Fultonstraße 5-11/7/R1, 1210 Wien	https://radundtatwien.at		
Das Taschenfahrrad	Leopoldsgasse 28, 1020 Wien	https://www.dastaschenfahrrad.com/		
Bernhard Kohl Fahrrad & Fitness	Triester Straße 282-284, 1230 Wien	https://bernhardkohl.at/		
Radsport RIH	Praterstraße 48, 1020 Wien	https://radsport-rih.webnode.at		
Vello Bike	Neubaugasse 33, 1070 Wien	https://vello.bike		
Das Radhaus	Mittersteig 4, 1050 Wien	http://dasradhaus.at/		
Radort	Tandelmarktgasse 9, 1020 Wien	http://radort.at		
Dorfinger	Galvanigasse 19, 1210 Wien	https://www.2rad-dorfinger.at/		
VELETAGE - Salon für Radkultur	Praterstraße 13, 1020 Wien	https://veletage.com/		
Radmechaniker	Gredlerstraße 2, 1020 Wien	https://www.radmechaniker.at/		
Reanimated Bikes	Westbahnstraße 35, 1070 Wien	https://www.reanimated-bikes.eu/		
Radstube	Toldgasse 2/6, 1150 Wien	https://radstube.at/		
Die kleine Fahrradwerkstatt	Yppenplatz 6, 1160 Wien	http://www.fahrradwerk.at		
Radwerkstatt	Hasnerstraße 6, 1160 Wien	https://www.radwerkstatt.at/		
fahrrad.selbsthilfe.werkstatt im WUK	Severingasse 12, 1090 Wien	https://fahrrad.wuk.at/		
Sator Bike Shop	Böcklinstraße 104, 1020 Wien	http://www.sator-bike.at/		
ig-fahrrad	Westbahnstraße 28, 1070 Wien	https://www.ig-fahrrad.at/		
Thomas De Meza Fahrradmechaniker	Semperstraße 35, 1180 Wien	https://demeza.bike		
Stadtradler	Frankenberggasse 2-4, 1040 Wien	https://www.stadtradler.at/		
Klemens Schachinger (Wolfgang Brunner)	Degengasse 37, 1160 Wien	https://www.reparaturnetzwerk.at/start.asp?ID=2780		
Mistelbiker	Florianigasse 54, 1080 Wien	http://www.mistelbiker.at/		
2rad-shop Gerhardt	Langobardenstraße 19, 1220 Wien	https://www.2rad-shop.at/		
Räderei	Neulinggasse 34, 1030 Wien	http://www.raederei.at		
Re.bicycle	Widerhofergasse 5, 1090 Wien			
Fahrradmeister	Margaretenstraße 32, 1040 Wien	https://www.fahrradmeister.at/		
Zweirad Ortner bike & more	Untere Augartenstraße 32, 1020 Wien	www.zweiradortner.com		
Argus Shop	Frankenberggasse 11, 1040 Wien	https://argusshop.org		
Metallhase.at	Mollardgasse 12A/5, 1060 Wien	https://www.metallhase.at/		
Willinger Peugeot Fahrräder	Mollardgasse 20, 1060 Wien			
Radpunkt	Schmalzhofgasse 10, 1060 Wien	https://www.radpunkt.at/		
Maderna Cycle Systems - Werkstatt	Grundsteingasse 11, 1160 Wien	https://www.mcsbike.com/		
Rad&Service Oberlaa	Oberlaaer Straße 105, 1100 Wien	https://www.radsport-hoffmann.at/		
Faul Manfred Fahrradwerkstatt	Lorystraße 39, 1110 Wien			
Maroitalia	Schrutkagasse 6, 1130 Wien	https://www.maroitalia.com/		
RLS Sport	Josef-Palme-Platz 2, 1140 Wien	http://www.rls-sport.at/		
Fahrrad Eck	Gräffergasse 1, 1170 Wien	www.wunda.at		
Pbike	Jörgerstraße 31, 1170 Wien	https://www.pbike.at/		
Fahrrad18	Schindlergasse 19, 1180 Wien	http://www.fahrrad18.at		
Beranek	Rathstraße 28, 1190 Wien			
Biber Sport Service	Soldanellenweg 53, 1220 Wien	https://bibersport.at/		
RadStefan	Matznergasse 26, 1140 Wien			
Izi Ride	Neustiftgasse 135, 1070 Wien	https://www.izi-ride.at/		
VeloCity	Ottakringer Straße 71, 1160 Wien	https://www.velo-city.at/		
Fahrraddiscounter.at	Hernalser Hauptstraße 122, 1170 Wien			
Dr Bike	Maria-Tusch-Straße 9, 1220 Wien	http://www.dr-bike.at		
m-way	Rennweg 21, 1030 Wien	https://m-way.at/		
Heavy Pedals	Am Hundsturm 1, 1050 Wien			
velo peaches	Spitalgasse 3, 1090 Wien	https://www.velopeaches.com/		
Wien Rad	Krakauer Straße 23, 1020 Wien	https://wienrad.at/		
				
Popsykkel	Reindorfgasse 9, 1150 Wien	https://popsykkel.at/		
Radlheim-Fünfhaus	Dingelstedtgasse 2, 1150 Wien	www.radlheim.org		
Stadtwerkstatt	Skodagasse 1, 1080 Wien	https://alpenrad.at/		
United In Cycling - Fahrradgeschäft & Werkstatt	Eva-Maria-Mazzucco-Platz 1, 1220 Wien			
Glanzrad	Leopoldsgasse 21, 1020 Wien	https://www.glanzrad.com/		
Cycloholics	Hütteldorfer Straße 36, 1150 Wien			
Fahrradkeller	Roßauer Lände 33, 1090 Wien	https://fahrradkeller.at		
Pbike	Boltzmanngasse 21, 1090 Wien	https://www.pbike.at		
huberista	Erdbergstraße 22, 1030 Wien	https://www.huberista.com		
Bikeservice	Rechte Wienzeile 249, 1120 Wien			
Bikely				
Bike Shop Hohe Wand Wiese	Mauerbachstraße 174-184, 1140 Wien	https://morethanbike.at/		
Velobis	Johnstraße 1-3, 1140 Wien	http://velobis.com/		
Oliver Holat	Rittersporngasse 80, 1220 Wien	http://www.radwerkstatt.wien/		
Mitico	Margaretenstraße 107, 1050 Wien	https://www.miticobikes.com/		
Fahrradstation	Eibesbrunnergasse 1, 1120 Wien	http://www.backwind.at/		
bike20				
Church of Bikes	Florianigasse 68/2, 1080 Wien	https://www.churchofbikes.com/		
Arizona Bike	Nussdorfer Straße 3, 1090 Wien	https://www.arizonabike.at		
Radgeber	Landstraßer Hauptstraße 173-175, 1030 Wien	https://www.radgeber.bike		
Fahrraddiscounter	Hernalser Hauptstraße 119, 1170 Wien			
Pedalus	Thaliastraße 152, 1160 Wien	https://www.pedalus.at/		
Lemon Bike	Sonnwendgasse 38, 1100 Wien			
Die radwerkstatt	Margaretengürtel 134, 1050 Wien	https://www.dieradwerkstatt.at/		
Jugend am Werk	Altmannsdorfer Straße 109, 1120 Wien			
Maderna Cycle Systems - Geschäft				
VELLO Brand Store	Reinprechtsdorfer Straße 58-60, 1050 Wien	https://vello.bike		
Optimus Bike	Piaristengasse 14, 1080 Wien			
der drehmoment	Dresdner Straße 136, 1200 Wien	https://der-drehmoment.at		
Radlfriseur	Herbststraße 24, 1160 Wien	https://www.radlfriseur.at/		
Star Bike	Bruno-Marek-Allee 11, 1020 Wien	https://www.starbike.at		
Fahrradwerkstatt Flickschuh	Hetzendorfer Straße 81, 1120 Wien	https://flickschuh.wien/		
SG Velo	Gorskistraße 14/K6-7, 1230 Wien	https://www.sgvelo.at/		
Veloversum	Stumpergasse 40			
Das Rad	Oberlaaer Straße 209			
Cycle Factory 1130	Stadlergasse 1	https://www.cycle-factory.at		
Fahrrad Lab				
Fahrradtechnik Johannes Neugebauer	Neulinggasse 24, 1030 Wien			
Die Absteige	Ybbsstraße 26, 1020 Wien	https://lenkerbande.at/absteige-1020/		
Bikestore Servicecenter	Erzherzog-Karl-Straße 14, 1220 Wien	https://bikestore.cc/wien-1220		
Repa-Rad-Tur.at	Bessemerstraße 38, 1210 Wien	https://www.repa-rad-tur.at		
Velotek		https://velotek.at/		
Mei Radl Werkstatt		https://www.mei-radl.at/		
Federelement				
Christian Proschinger Fahrradtechnik e.U.				
Walter Johann Knechtl - Die Fahrradtechnik				
Lenkerbande - Kompetenzzentrum für Bahnhofsräder	Emilie-Flöge-Weg 4, 1100 Wien	https://www.lenkerbande.at/		
Radplatz	Kaiserstraße 106, 1070 Wien	https://radplatz.at/		
Genniges Fahrräder				
Sport nach Mass	Novaragasse 49, 1020 Wien	https://sport-nach-mass.com		
La Bicicleta Verde	Engerthstraße 194, 1020 Wien	https://www.gruenesrad2.at/		
Rad-Bike		https://rad-bike.at/		
Scooteria	Anastasius-Grün-Gasse 11, 1180 Wien	https://scooteria.info		
Bergspezl	Stiftgasse 5-9, 1070 Wien	https://bergspezl.at/		
2 Rad Helden	Hadikgasse 192, 1140 Wien	https://2radhelden.at		
Bike City	Mariahilfer Straße 206, 1150 Wien			
eBike now	Lazarettgasse 1, 1090 Wien	https://ebikenow.at		
Flickerei	Turmburggasse 1, 1060 Wien	http://flickerei.blogsport.at/		
Fahrradwelt	Hörnesgasse 19			
's Radl	Sieveringer Straße 140, 1190 Wien	https://www.sradl.at		
FahrradFreundeFloridsdorf	Moritz-Dreger-Gasse 19, 1210 Wien	https://www.heilsarmee.at/fff		
Velosaloon	Märzstraße 156/4	https://www.velosaloon.com/		
Best Bike	Prager Straße 26, 1210 Wien	https://www.best-bike.at/		
Fahrrad-1050	Kohlgasse 51, 1050 Wien			
2Rad Service Vescky		https://www.2rad-pv.at/		
Fahrrad 1030		http://www.fahrrad-1030.at/		
radbar	Kranzgasse 1	https://radbar.wien/		
Edis Fahrrad	Schönbrunner Straße 192, 1120 Wien	https://edisfahrrad.at/		
Radlheim Fünfhaus	Löhrgasse 3, 1150	https://radlheim.org/		
Fahrradwerkstatt Freudenau	Freudenauer Hafenstraße 27, 1020 Wien	http://fahrrad-freudenau.at		
Chainge		https://chainge.at/		
Michael Beck - Beckbikes		https://www.beckbikes.at/		
Seven Bike				
Roadbiker				
Rahmenmanufaktur Morassi		https://morassiframes.com/		
Artbauer		https://www.ktm-bikes-artbauer.at/		
JOVELO				
Zweiradheimat	Ausstellungsstraße 33/1, 1020 Wien	http://www.zweiradheimat.at		
Velopold Vienna	Obermüllnerstraße 11, 1020 Wien	https://velopoldvienna.com/		
Limitedbikes		https://www.limitedbikes.at/		
Stir Bike		https://stirbike.at		
NXT Cargobikes	Kaisermühlenstraße 8, 1220 Wien	https://nxtcargobikes.at/		
fluidbike, Radwerkstatt und Institut für angewandtes Fahrradfahren	Obere Bahngasse 20, 1030 Wien	https://fluidbike.at/		
Die Radbox	Simmeringer Hauptstraße 142-150/5/R2, 1100 Wien	https://www.dieradbox.net/		
CUBE Store Wien Ost by Multicycle	Jedletzbergerstraße 9, 1110 Wien	https://multicycle.at/cube-store-wien-ost/		
re.bicycle	Argentinierstraße 67, 1040 Wien			
Fahrradwerkstatt Flickschuh	Hetzendorfer Straße 81, 1120 Wien	https://www.graetzlrad.wien/bike/fahrradwerkstatt-flickschuh/		
Velobis	Johnstraße 1-3, 1140 Wien	https://www.graetzlrad.wien/bike/velobis/		
Bikes and Rails	Emilie-Flöge-Weg 4, 1100 Wien	https://www.graetzlrad.wien/bike/bikes_and_rails/		
CUBE Store Wien West by Multicycle	Albert-Schweitzer-Gasse 7, 1140 Wien			
Radbande Expositur	Ilgplatz 2, 1020 Wien	https://radbande.at/		
Rad Fux	Springergasse 27, 1020 Wien	https://www.radfux.wien		
Bentho eBikes	Lassallestraße 5, 1020 Wien	https://www.bentho.at/		
Fahrrad + Ski	Linke Wienzeile 124, 1060 Wien	https://www.fahrrad-ski.at/		
Radbande	Emilie-Flöge-Weg 4/1	https://radbande.at/		
Green Bike	Neubaugasse 80, 1070 Wien	https://green-bike.at/		
Werkstat	Treustraße 13			
Brompton Junction Vienna				
Church of Bikes	Nussdorfer Straße 82, 1090 Wien	https://www.churchofbikes.com/		
RadLiebe Werkstatt	Weyprechtgasse 10, 1160 Wien			
e-motion e-Bike Welt Wien	Lemböckgasse 53-55, 1230 Wien			
Bike + More HandelsgesmbH	Agavenweg 21, 1220 Wien	https://www.bikemore.at/		
Dieradstation	Am Hauptbahnhof 1, 1100 Wien	https://www.dieradstation.cc/		
